               Commit ID:               ,            Commit Message:             
1e7bdb8e03fc5ee9f31b4047a52f499187739892,Delete assignment description from repo

In case of any fixes etc., better to keep one place on eClass as the official assignment description
b57c96fbd45e3a776b5ba41b046b0ba03fe16c02,this code is almost done, but still buggy
5d5dd1ac0d5934f917a67114331e354c287245f2,     cleaned up code and fixed bugs     
d986edaaa33ea03d6cc0e2da8ad2dba6585f1e00,            debugging update            
4220e855002d18c075b8667472d7bd2f5d92659f,             debugged draft             
e147db455f9b2c380fb7dddb77ee3dda41d1abe4,                 fixed                  
ffaf8c4e0d9eb940a5bac7eb0c3c70d1f09753af,             updated error              
